year,stat,player,team,value,link
1958,Shutouts,Whitey Ford,New York,7,https://www.baseball-almanac.com/pitching/pishut4.shtml
1958,Strikeouts,Early Wynn,Chicago,179,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1958,Winning Percentage,Bob Turley,New York,.750,https://www.baseball-almanac.com/pitching/piwper4.shtml
1958,Wins,Bob Turley,New York,21,https://www.baseball-almanac.com/pitching/piwins4.shtml
1958,Statistic,Name(s),Team(s),#,
1958,Team [Click for roster],Wins,Losses,WP,
1958,New York Yankees,92,62,.597,https://www.baseball-almanac.com/teamstats/roster.php?y=1958&t=NYA
1958,Chicago White Sox,82,72,.532,https://www.baseball-almanac.com/teamstats/roster.php?y=1958&t=CHA
1958,Boston Red Sox,79,75,.513,https://www.baseball-almanac.com/teamstats/roster.php?y=1958&t=BOS
1958,Cleveland Indians,77,76,.503,https://www.baseball-almanac.com/teamstats/roster.php?y=1958&t=CLE
1958,Detroit Tigers,77,77,.500,https://www.baseball-almanac.com/teamstats/roster.php?y=1958&t=DET
1958,Baltimore Orioles,74,79,.484,https://www.baseball-almanac.com/teamstats/roster.php?y=1958&t=BAL
